name,link,sizeInMB
28176124.zip,https://drive.google.com/file/d/1g3iwAWpMmsLEfWM23faluLE_VD63WRM1/view?usp=drivesdk,725.3319006
25692073.zip,https://drive.google.com/file/d/1gfv9-mkJUFUhsd5AdLrXelpE83WpAvpw/view?usp=drivesdk,822.1371517
28608066.zip,https://drive.google.com/file/d/1ch4rYGqQn1l2aPOo20GNx7Pi7ds6xEft/view?usp=drivesdk,506.8343782
27819368.zip,https://drive.google.com/file/d/1eIn-DXLnwfrE9SIuzEuwssRSF1qId0k5/view?usp=drivesdk,373.9753437
33962890.zip,https://drive.google.com/file/d/1cZ7kA1F_GAyezmBpVhRaf4Dr7wY32pjB/view?usp=drivesdk,175.8488045
26856617.zip,https://drive.google.com/file/d/1d5F5JMrwMhpaKlLwLugAoHk4sWrZa7kz/view?usp=drivesdk,501.3800907
33999544.zip,https://drive.google.com/file/d/1esri34JNTrLDNmqtYqz42zSAQfOPv_Ry/view?usp=drivesdk,60.91997051
33324736.zip,https://drive.google.com/file/d/1dzMkRN5RjNIjUCulF_ORUiML5vR2ZOix/view?usp=drivesdk,63.89831448
34148224.zip,https://drive.google.com/file/d/1cZwAlp9pLUScpty5GfxSSQLeErrSaI1Z/view?usp=drivesdk,5.608361244
33831564.zip,https://drive.google.com/file/d/1cWL2kToS8tJqigzUUySGifOV2S479B1Z/view?usp=drivesdk,26.9044857
33470634.zip,https://drive.google.com/file/d/1eoBGdc8CRdCXs014tvRxBVECrYhPKn1T/view?usp=drivesdk,10.33220959
32635618.zip,https://drive.google.com/file/d/1g9bnhhodhSijWHIyt7oHoCTsCME4fMJv/view?usp=drivesdk,0.01013183594
28756888.zip,https://drive.google.com/file/d/1e3Q4JicI9yhYnOtSg45uD3JoMwi3EKuo/view?usp=drivesdk,68.84980583
28823146.zip,https://drive.google.com/file/d/1f4frJPwAf4MTzrzSjLg67OqrYyq84rPv/view?usp=drivesdk,0.3573532104
27553507.zip,https://drive.google.com/file/d/1fpK2kiY0MfkFcqNPFXk3v3RQ0ggUxkT5/view?usp=drivesdk,71.92774296
27526291.zip,https://drive.google.com/file/d/1fU76OPYFUu_Yxc0WD7LF9HZTGRbzPQQu/view?usp=drivesdk,73.61986732
26691577.zip,https://drive.google.com/file/d/1frrKZXGKo3WrD3xl3nptGqbjPRuyxpgk/view?usp=drivesdk,46.33051109
25401109.zip,https://drive.google.com/file/d/1hE5TFgioveGobSmSCgjoQ_pofCap6P56/view?usp=drivesdk,51.62157345
24587372.zip,https://drive.google.com/file/d/1cwGEG_boY8DGmQ8nmIvN8xVicQufkiiu/view?usp=drivesdk,105.4535294
17161370.zip,https://drive.google.com/file/d/1dGg9swR8xlzO12Cs1r-BJm8QkhlZidun/view?usp=drivesdk,25129.55573
14092221.zip,https://drive.google.com/file/d/1gGo-KpJU_O2k4_fL-FqnBr0rGz11c_GD/view?usp=drivesdk,6325.89162
23428091.zip,https://drive.google.com/file/d/1f54oxbBAQjurJH4x0js_c0kV1hX_FnUl/view?usp=drivesdk,2002.001342
20396154.zip,https://drive.google.com/file/d/1gocN7N3BrzuJ0vWv3PyU05cHYeOocRDS/view?usp=drivesdk,1806.243821
13029224.zip,https://drive.google.com/file/d/1gs-KS6ibRhmqKHsZfpxmAEpCPjr8yhAW/view?usp=drivesdk,2123.671673
13484299.zip,https://drive.google.com/file/d/1f8q154rGxmkv_S3raQzmHGhdf5g-8432/view?usp=drivesdk,1929.664797
16975609.zip,https://drive.google.com/file/d/1fWXBF-eiUwkmpHFZpB0FsLAtkRN08_PO/view?usp=drivesdk,1665.925989
21946407.zip,https://drive.google.com/file/d/1ceOfLRvVC7H6DVj0jjFds27JfImyKLkd/view?usp=drivesdk,1440.12628
15558575.zip,https://drive.google.com/file/d/1h6N95EBJOWc8mXAcj_GtQvhe2eJT9kp0/view?usp=drivesdk,1299.943834
19626656.zip,https://drive.google.com/file/d/1fToYpdGhQlAnC680d0MiOtV7h67rQ6KZ/view?usp=drivesdk,1191.966207
